Item,,Code,Description,หน่วย,QTY,ม้วนเต็ม,เศษ,QTY,ม้วน,เศษ,QTY,ม้วน,เศษ,Location,หมายเหตุ
223,Sauleda,RM2062212010,ผ้า Acrylic Sauleda สี TWEED NEGRO (3582) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,MTS,18.82,0,18.82,13.25,0,11.65,5.57,0,7.32,WH2-D202,7.05+1.6+3.38+3.8+1.59+1.4
224,Sauleda,RM2062302007,ผ้า Acrylic Sauleda สี TEJA (2065) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,MTS,109.5,1,49.5,111.25,1,51.25,-1.8,0,-1.75,WH2-D101,(60x1)+41.25+0.9+5.55+1.8
225,Sauleda,RM2062302008,ผ้า Acrylic Sauleda สีดำ NEGRO (2170) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,MTS,318.66,3,133.66,310.5,3,63.95,8.16,0,69.71,"WH2-D102,D101",(60x2)+(65x1)+48.5+4.21+5+13.5+16.92+3.2+2.53+5.8+2.8+2.6+3.5+12.9+3.05+5.25+3.9
226,Sauleda,RM2062303002,ผ้า Acrylic Sauleda สี GRANATE (2101) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,MTS,374.2,6,16.2,379.18,6,19.18,-5,0,-2.98,WH2-D101,(60x6)+16.2
227,Sauleda,RM2062303003,ผ้า Acrylic Sauleda สี MARINO (2145) หน้ากว้าง 1.20 ม. ยาว 60 เมตร,MTS,44.6,0,44.6,63.1,0,62.5,-18.5,0,-17.9,WH2-D101,29+12.5+3.1
228,Serge Ferrai,RM2062202001,"ผ้า Ferrari 912-8861S2 สีครีมไข่ไก่ หน้ากว้าง 2.67 ม./ ยาว 15 เมตร, 16 เมตร ( K.เฟรด)",MTS,15.7,0,0,15.7,0,0,0,0,0,WH2-B205,
229,Serge Ferrai,RM2062207003,ผ้า Ferrari 702-8604S2 สีขาว หน้ากว้าง 2.67 ม.,MTS,113,2,13,88,2,0,25,0,13,WH2-P003,
230,Serge Ferrai,RM2062207004,ผ้า Ferrari 502-8604S2 สีขาว หน้ากว้าง 2.67 ม.,MTS,151,2,51,116.05,1,72.05,34.9,1,-21.05,WH2-P003,
231,Serge Ferrai,RM2062212001,ผ้า Ferrari 502-2135C สีเบจ หน้ากว้าง 1.80 ม. (40 เมตร),MTS,400.67,10,28,369,10,28.1,31.67,0,-0.1,WH2-ลังไม้,
232,Serge Ferrai,RM2062307004,ผ้า Ferrari 371-7900 สีขาว หน้ากว้าง 2.67 ม. ยาว 50 เมตร,MTS,19.8,0,0,19.8,0,19.8,0,0,-19.8,WH2-B102,
233,Serge Ferrai,RM2062309001,"ผ้า Ferrari 432-8274 สีแดง-ขาว หน้ากว้าง 1.78 ม. ยาว 40,37,30,20,17 เมตร",MTS,56.6,2,0,52.5,2,7.6,4.1,0,-7.6,WH2-A201,
234,Serge Ferrari,RM2061508001,ผ้า Ferrari 502-2168 สีอลูมิเนียม หน้ากว้าง 1.80 ม. (40 เมตร),Mts,44.3,1,24.3,49.2,1,32.7,-4.9,1,-8.4,WH2-A201,(20x1)+24.3
235,Serge Ferrari,RM2061805003,ผ้า Ferrari 302-50331 สีเทาอ่อน หน้ากว้าง 1.80 ม./ย. 15 ม.,Mts,3.6,1,0,3.6,1,0,0,0,0,WH2-A201,3.6
236,Serge Ferrari,RM2061805004,ผ้า Ferrari 505 -White Color Standard Roll หน้ากว้าง 2.70 ม.,Mts,50,1,0,50,1,0,0,0,0,WH2-B205,(50x1)
237,Serge Ferrari,RM2061807001,ผ้า Ferrari 1002-8636S2 สีขาว หน้ากว้าง 2.67 ม. ยาว 50 เมตร/70 เมตร/35 เมตร,Mts,106.53,0,106.53,131.1,0,105.3,-24.57,0,1.23,WH2-P002,รวมเศษ106.53
238,Serge Ferrari,RM2061807002,ผ้า Ferrari 302-50377 Hemp หน้ากว้าง 1.80 ม./ย.15 ม.,Mts,15,1,0,15,1,0,0,0,0,WH2-A201,(15x1)
239,Serge Ferrari,RM2061807003,ผ้า Ferrari 302-50378 Anthracite หน้ากว้าง 1.80 ม./ย.15 ม.,Mts,15,1,0,15,1,0,0,0,0,WH2-A201,(15x1)
240,Serge Ferrari,RM2061906002,ผ้า Ferrari 402-8035R (BLUE WHITE)หน้ากว้าง 1.80 ม./ย.50 ม.,Mts,102.1,2,2.1,100,2,2.1,2.1,0,0,WH2-A305,(50x2)+2.1
241,Serge Ferrari,RM2061912002,ผ้า Ferrari 1002-3399S2 สีขาว หน้ากว้าง 1.78 ม. ยาว 50 เมตร/42 เมตร (โปร่งแสง),Mts,41.5,0,41.5,41.5,0,41.5,0,0,0,WH2-P003,41.5
242,Serge Ferrari,RM2062004001,ผ้า Ferrari SOLTIS 92-2045 หน้ากว้าง 1.77 ม,Mts,5.45,0,5.45,5.45,0,5.75,0,0,-0.3,WH2-C105,5.45
243,Serge Ferrari,RM2062207002,ผ้า Ferrari 381-3123 SAND BEIGE หน้ากว้าง 2.67 ม.,Mts,0,0,0,0,0,0,0,0,0,WH2-B102,
244,Serge Ferrari,RM7071307004,ผ้า Ferrari 702-8604S2 สีขาว หน้ากว้าง 2.50 ม.,Mts,76.7,0,76.7,74.2,0,75.6,2.5,0,1.1,WH2-P003,รวมเศษ 76.7
245,บ.เอ็มฮิวส์,RM2061406002,ผ้า Extra Block True Blue 311079 หน้ากว้าง 3.00 ม.,MTS,0,0,0,12.5,0,12.5,-12.5,0,-12.5,WH2-D303,
246,บ.เอ็มฮิวส์,RM2061507002,Sunbrella # 4642-0000 Oyster,MTS,0,0,0,11.77,1,0,-11.77,-1,0,WH2-E104,
247,บ.เอ็มฮิวส์,RM2061910001,Sunbrella Style # 4988 Cooper Black หน้ากว้าง 1.18 ม.,MTS,8.8,0,8.8,8.8,0,0,0,0,8.8,WH2-E103,
248,บ.เอ็มฮิวส์,RM2062101001,ผ้า Acrylic #2227 หน้ากว้าง 1.50 ม.,MTS,0,0,0,10.8,0,0,-10.8,0,0,WH2-E104,
249,บ.เอ็มฮิวส์,RM2062102006,ผ้า Sunbrella Acrylic Sualeda 8487 Antracita หน้ากว้าง 1.53 เมตร,MTS,0,0,0,10,0,0,-10,0,0,WH2-D201,
250,บ.เอ็มฮิวส์,RM2062106004,ผ้า Acrylic #2717 หน้ากว้าง 1.50 ม.,MTS,0,0,0,1.35,0,1.35,-1.35,0,-1.35,WH2-E101,
251,บ.เอ็มฮิวส์,RM2062204002,ผ้าอะคริลิค #2434 กาแฟ หน้ากว้าง 153 ม.,MTS,0,0,0,7,0,7,-7,0,-7,WH2-E104,
252,บ.เอ็มฮิวส์,RM7070915001,ผ้า Extra Block -Beige 311076 หน้ากว้าง 3.00 ม.,MTS,0,0,0,12.01,0,12.01,-12.01,0,-12.01,WH2-D303,
253,บ.เอ็มฮิวส์,RM7070915002,ผ้า Extra Block -Latte 311083 หน้ากว้าง 3.00 ม.,MTS,0,0,0,75.5,2,0,-75.5,-2,0,WH2-D303,
254,บ.เอ็มฮิวส์,RM7070915003,ผ้า Extra Block -Cream 311077 หน้ากว้าง 3.00 ม.,MTS,0,0,0,13.9,0,13.9,-13.9,0,-13.9,WH2-D303,
255,บ.เอ็มฮิวส์,RM7070915005,ผ้า Extra Block -Silver 311081 หน้ากว้าง 3.00 ม.,MTS,0,0,0,7.3,0,0,-7.3,0,0,WH2-D303,
256,บ.เอ็มฮิวส์,RM7071269020,Sunbrella Style# 5704 Black/White หน้ากว้าง 1.20 ม.,MTS,54.25,1,0,54.25,1,0,0,0,0,WH2-E103,
257,ห.จ.ก.เจริญผ้าใบ,RM7070151006,ผ้า Super PVC T5 สีครีม CR1 หน้ากว้าง 1.07 ม.,MTS,0,0,0,127.1,1,53.75,-127.1,-1,-53.75,"WH2-D107,E105",
258,ห.จ.ก.เจริญผ้าใบ,RM7070151010,ผ้า Super PVC T5 สีเขียวขี้ม้า OD2 หน้ากว้าง 1.07 ม.,MTS,427.7,4,47.7,408.71,4,60,18.99,0,-12.3,WH2-D107,(90x4)+47.7
259,ห.จ.ก.เจริญผ้าใบ,RM7070151012,ผ้า Super PVC T5 สีแดง RD2 หน้ากว้าง 1.07 ม.,MTS,98,0,98,118.58,0,118.52,-20.6,0,-20.52,WH2-D107,98
260,ห.จ.ก.เจริญผ้าใบ,RM7070151014,ผ้า Super PVC T5 สีเหลือง YL2 หน้ากว้าง 1.07 ม.,MTS,210,2,30,211.1,2,35.85,-1.1,0,-5.85,WH2-D107,(90x2)+30
261,ห.จ.ก.ผ้าใบนกอินทรี,RM2061506002,ผ้าใบ PVC S5 CR1 สีครีม หน้ากว้าง 1.08 ม.,MTS,123,1,33,12.55,1,23.4,110.45,0,9.6,WH2-D107,(60x1)+33
262,ห.จ.ก.ผ้าใบนกอินทรี,RM2061506003,ผ้าใบ PVC S5 OR1 สีส้ม หน้ากว้าง 1.08 ม.,MTS,55.75,0,55.75,55.75,0,81.29,0,0,-25.54,WH2-D107,55.75
263,ห.จ.ก.ผ้าใบนกอินทรี,RM2061506005,ผ้าใบ PVC S5 BL4 สีกรมท่า หน้ากว้าง 1.08 ม.,MTS,229.6,2,49.6,236.55,3,0.35,-7,-1,49.25,WH2-D107,(90x2)+49.6
264,บ.ออกัสแอนด์ซัน,RM2062306001,Sunbrella Acrylic 6079-0000 OCEAN BLUE (สีฟ้าน้ำทะเล) หน้ากว้าง 1.52 ม.,MTS,0,0,0,0,0,0,0,0,0,WH2,
265,บ.ออกัสแอนด์ซัน,RM2062406003,"Sunbrella Acrylic 6020-0000 BEIGE 100% Sunbrella Acrylic 60""หน้ากว้าง 1.52 ม.",MTS,0,0,0,0,0,0,0,0,0,WH3-E103,
266,บ.ออกัสแอนด์ซัน,RM2062411003,"Sunbrella Acrylic 4876-0000 MANHATTAN FOG 46""หน้ากว้าง 1.17 ม.",MTS,91.45,1,37.45,98.43,1,55.9,-6.98,0,-18.45,WH2,(54x1)+37.45
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Check by :,....................................................................,Date :,.........9/01/2025..........................,,,,,,,,,,,
,Auditor by :,………………………………………………………………,Date :,……………………………………………….,,,,,,,,,,,
