Item,,Code,Description,หน่วย,QTY,ม้วนเต็ม,เศษ,QTY,ม้วน,เศษ,QTY,ม้วน,เศษ,Location,หมายเหตุ
33,สหแสงทอง,RM7070152013,ผ้า PVC HC สีส้ม HC-046 หน้ากว้าง 1.13 ม.,เมตร,270,3,0,277.26,3,16.85,-7.26,0,-16.85,"WH2-D105,E105",(90x3)
34,สหแสงทอง,RM7070152014,ผ้า PVC HC สีดำ HC-049 หน้ากว้าง 1.13ม.,เมตร,480,5,30,525.48,5,37.67,-45.48,0,-7.67,"WH2-D106,E105",(90x5)+10+20
35,สหแสงทอง,RM7070152015,ผ้า PVC HC สีเหลือง HC-077 หน้ากว้าง 1.08 ม.,เมตร,381.9,4,21.9,397.25,4,21.9,-15.35,0,0,"WH2-D105,E105",(90x4)+21.9
36,สหแสงทอง,RM7070152016,ผ้า PVC HC สีกรมท่า HC-291 หน้ากว้าง 1.13 ม.,เมตร,551.73,6,101.75,625.23,6,80,-73.5,0,21.73,"WH2-D105,E105",(90x6)+13+67.35
37,สหแสงทอง,RM7070152017,ผ้า PVC HC สีเขียว HC-701 หน้ากว้าง 1.13 ม.,เมตร,584,6,44,555.65,6,33.25,-28.35,0,10.75,"WH2-D104,E105",(90x6)+15
38,สหแสงทอง,RM7070152018,ผ้า PVC HC สีม่วงเข้ม HC-398 หน้ากว้าง 1.08 ม.,เมตร,11.41,0,11.41,14.11,0,14.11,-2.7,0,-2.7,"WH2-D105,E105",-
39,สหแสงทอง,RM7070152019,ผ้า PVC HC สีน้ำตาลอ่อน HC-000 หน้ากว้าง 1.13 ม,เมตร,350.6,3,80.6,354.23,3,88.2,-3.65,0,-7.6,"WH2-D107,E105",(90x3)+71.6
40,สหแสงทอง,RM7071402001,ผ้า Super EG888 สีเขียวขี้ม้า หน้ากว้าง 1.07 ม.,เมตร,33,0,33,33,0,25.9,0,0,7.1,WH2-C107,เศษม้วนเก่า 33 ม.
41,สหแสงทอง,RM7071402003,ผ้า Polyester สีขาว หน้ากว้าง 1.50 เมตร (เคลือบหน้าเดียว),เมตร,0,0,0,17,0,17,-17,0,-17,WH2-A305,0
42,สหแสงทอง,RM90520AA021,ผ้าสานสีน้ำเงิน/หน้าเดียว (63 เมตร/ม้วน),เมตร,441,7,0,504,8,0,-63,-1,0,WH2-A201,
43,Gale Pacific,RM2061409002,Commercial 95 Dessert Sand # 444983 หน้ากว้าง 3.00 ม. (40 ม./ม้วน),เมตร,257.06,5,57.06,318.54,7,42.28,-61.4,-2,14.78,"WH2-D203,D206",(40x5)+15+4.3+4+1.5+3.4+3+2.28+2+4.3+2+4
44,Gale Pacific,RM2061409003,Commercial 95 Natural 445003 หน้ากว้าง 3.00 ม. (40 ม./ม้วน),เมตร,473.74,11,33.74,505.46,11,65.46,-31.72,0,-33.72,WH2-D301,(40x11)+5+5+3.45+13.29+4+2+2
45,Gale Pacific,RM2061506007,Commercial 95 RIVER GUM GREEN # 445027 หน้ากว้าง 3.00 ม. (40 ม./ม้วน),เมตร,434,10,34,433.45,10,34,0.5,0,0,WH2-D306,(40x10)+34
46,Gale Pacific,RM2061506008,Commercial 95 BRUNSWICK GREEN # 444952 หน้ากว้าง 3.00 ม. (40 ม./ม้วน),เมตร,462.2,10,62.2,457.55,10,40.2,24.65,0,22,"WH2-D302,D205,D303",(40x10)+25.2+4
47,Gale Pacific,RM2061506009,Commercial 95 STEEL GREY # 445041 หน้ากว้าง 3.00 ม. (40 ม./ม้วน)/,เมตร,501.6,10,101.6,506.23,10,94.5,-4.63,0,7.1,"WH2-D204,D205",(40x10)+2+2+6+10.1+23.7+7.8+2+3+5+5+7+8+7+6+4+3)
48,Gale Pacific,RM2061506010,Commercial 95 AQUATIC BLUE # 444938 หน้ากว้าง 3.00 ม. (40 ม./ม้วน) /,เมตร,319.4,7,39.4,319.68,7,29.4,-0.28,0,10,WH2-D302,(40x7)+9
49,Gale Pacific,RM2061510003,Commercial 95 CAYENNE # 455255 หน้ากว้าง 3.00 ม. (40 ม./ม้วน) หมดแล้วหมดเลย,เมตร,72.82,1,32.82,47.27,1,7.9,25.55,0,24.92,WH2-D304,(40x1)+9+9+3+6.3+5.52
50,Gale Pacific,RM2061510004,Commercial 95 CEDAR # 465360 หน้ากว้าง 3.00 ม. (40 ม./ม้วน)หมดแล้วหมดเลย,เมตร,61.3,1,21.3,101.9,2,21.9,-40.6,-1,-0.6,WH2-D303,(40x1)+21.30
51,Gale Pacific,RM2061511001,Commercial 95 TURQUOISE # 445065 หน้ากว้าง 3.00 ม. (40 ม./ม้วน),เมตร,596,13,76,580.38,13,74.88,15.62,0,1.12,"WH2-D204,D305",(40x13)+30+18
52,Gale Pacific,RM2061605001,Commercial 95 YELLOW # 445072 หน้ากว้าง 3.00 ม. (40 ม./ม้วน),เมตร,342,8,22,351.55,8,12.1,-9.55,0,9.9,WH2-D304,(40x8)2+2+2+2+2+12
53,Gale Pacific,RM2062110001,Commercial 95 Black 444945 หน้ากว้าง 3.00 ม. (40 ม./ม้วน),เมตร,140,3,20,149,3,29,-9,0,-9,"WH2-D303 , D204",(40x3)+20
54,Gale Pacific,RM2062112001,Commercial Heavy 430gsm./ 3.00x40M Dessert sand 484309,เมตร,43.7,1,3.7,43.7,1,3.7,0,0,0,WH2-D203,(40x1)+3.7
55,Gale Pacific,RM2062112002,Commercial Heavy 430gsm. / 3.00x40M Steel Grey 484408,เมตร,138,3,18,138,3,18,0,0,0,WH2-B202,(40x3)+18
56,Gale Pacific,RM2062112003,Commercial DualShade 350gsm./ 3.00x40M Savanna 492724,เมตร,272.95,6,32.95,287.35,6,47.35,-14.4,0,-14.4,"WH2-D303,D305",(40x6)+23+9.95
57,Gale Pacific,RM2062112004,Commercial DualShade 350gsm. / 3.00x40M Cobblestone 491178,เมตร,0,0,14.6,0,0,0,0,0,14.6,WH2-D303,14.6
58,Gale Pacific,RM2062211005,G325 Shade Cloth - of White 3m x 50m /สีครีมงาช้าง 499884,เมตร,425,8,25,429.5,8,20.5,-4.5,0,4.5,WH2-D305,(50x8)+25
59,Gale Pacific,RM2062211006,Commercial 95 Bright Green/สีเขียวสด # 459208 หน้ากว้าง 3.00 ม. (40 ม./ม้วน),เมตร,39.7,0,39.7,39.7,0,39.7,0,0,0,WH2-D205,39.7
60,Gale Pacific,RM2062301001,Commercial DualShade 350gsm./ 3.00x40M FR Cobblestone 496005,เมตร,109.2,2,29.2,113.2,2,33.2,-4,0,-4,WH2-D205,(40x2)+2+2+6+10.1+23.7+7.8+2+3+5+5+7+8+7+6+4+3
61,Gale Pacific,RM2062302001,G325 Shade Cloth - Grey 3m x 50m /สีเทา 499853,เมตร,319.15,5,69.15,312.1,5,63.05,7.05,0,-6.1,WH2-D206,(50x5)+38.25+40.9
62,Haining Hongyang,RM2062501002,ผ้าใบเต็นท์สีขาว HY1010-1 500D กว้าง 2.5 ม.ยาว 50 ม.,เมตร,10846,217,0,10846,217,0,0,0,0,"WH2-C101,102",(50x217)
63,Citel sl co'ltd,RM2061507003,ผ้า Acrylic สีน้ำตาลเข้มสลับสีกากี 016 หน้ากว้าง 1.20 ม(หมดแล้วหมดเลย),เมตร,6.89,0,6.89,11,0,11,-4.11,0,-4.11,"WH2-D103,E101,E102",6.89
64,Citel sl co'ltd,RM2061507004,ผ้า Acrylic สีเทาเข้มคาดดำสลับเทาอ่อน 645 หน้ากว้าง 1.20 ม.,เมตร,17.2,0,17.2,27.55,0,27.55,-10.34,0,-10.35,"WH2-E101,E102",17.2
65,Citel sl co'ltd,RM2061508002,"citel sl co,ltd (2)'!C8RM2062408004",เมตร,269,4,19,264.75,4,24.67,4.25,0,-5.67,"WH2-D103,E101,E102",(60x4)+19+5+5
66,Citel sl co'ltd,RM2061508003,ผ้า Acrylic สีเทาอ่อนสลับน้ำตาลลาย621 หน้ากว้าง 1.20 ม.(หมดแล้วหมดเลย),เมตร,0,0,0,12.85,0,13,-12.85,0,-13,"WH2-D202,E101,E102",
67,Citel sl co'ltd,RM2061601003,ผ้า Acrylic สีเทาอ่อนลาย 675 หน้ากว้าง 1.20 ม.,เมตร,158.32,2,32.22,248.08,2,106.49,-89.76,2,-74.27,"WH2-E102,A103",(60x1)+(66.10x1)+5+5.75+21.47
68,Citel sl co'ltd,RM2061611001,ผ้า Acrylic สีครีมคาดขาวลายไม้ 551 หน้ากว้าง 1.20 ม.(หมดแล้วหมดเลย),เมตร,0,0,0,0,0,0,0,0,0,"WH2-D103,E101,E102",
69,Citel sl co'ltd,RM2061611002,ผ้า Acrylic สีดำลาย 677 หน้ากว้าง 1.20 ม.,เมตร,900.08,14,67.37,945.28,14,78.88,-45.2,0,-11.51,"WH2-A101,D103,E101,E102",(60.01x9)+(59.98x1)+(52.30x1)+(60.46x1)+(65x1)+(54.88x1)+46.81+6.3+14.26
70,Citel sl co'ltd,RM2061706001,ผ้า Acrylic สีกาแฟสลับสีส้ม 524 หน้ากว้าง 1.20 ม.,เมตร,107.7,1,47.7,119.93,1,30.79,-12.93,0,16.91,WH2-D103,(60x1)+21+26.7
71,Citel sl co'ltd,RM2061706002,ผ้า Acrylic สีลายแดงเทาส้ม 662 หน้ากว้าง 1.20 ม.(หมดแล้วหมดเลย),เมตร,61.15,0,61.15,60.7,0,65.78,1.08,0,-4.63,"WH2-D103,E101,E102",3+2.05+4.7+4.2+47.2
72,Citel sl co'ltd,RM2062206001,ผ้า Acrylic สีน้ำตาลลาย 113 หน้ากว้าง 1.53 ม.,เมตร,11.75,0,11.75,11.75,0,11.75,0,0,0,WH2-D103,11.75
73,Citel sl co'ltd,RM2062209001,ผ้า Acrylic สีขาวสลับสีดำ 014 FR หน้ากว้าง 1.20 ม.,เมตร,170.7,2,50.7,194.26,2,35,-23.56,0,15.7,WH2-D103,(60x2)
74,Citel sl co'ltd,RM2062307001,ผ้า Acrylic สีฟ้าเข้ม 682 หน้ากว้าง 1.20 ม.,เมตร,120,2,0,120,2,0,0,0,0,WH2-B301,(60x2)
