sku,description,default_length,default_grade
RM2061602003,ผ้า Ferrari SOLTIS 86-2135 ผ้าตาข่ายสีเนื้อ หน้ากว้าง 1.77 ม,-1.0,-
RM2061602004,ผ้า Ferrari SOLTIS 96-1103 ผ้าตาข่ายเล็กสีครีม หน้ากว้าง 2.67 ม,-1.0,-
RM2061602005,ผ้า Ferrari SOLTIS 96-2047 ผ้าตาข่ายเล็กสีเทาเข้ม หน้ากว้าง 2.67 ม,-1.0,-
RM2061602006,ผ้า Ferrari SOLTIS W96-1103 ผ้าตาข่ายเล็กสีครีมอ่อน หน้ากว้าง 2.67 ม,-1.0,-
RM2061602007,ผ้า Ferrari SOLTIS 86-2135 ผ้าตาข่ายสีเนื้อ หน้ากว้าง 2.67 ม,-1.0,-
RM2061603001,ผ้า Ferrari Stam 6002-20184 (630g) สีเขียวเข้ม หน้ากว้าง 2.60 m/50 m.,-1.0,-
RM2061605001,Commercial 95 YELLOW # 445072 หน้ากว้าง 3.00 ม. (40 ม./ม้วน),342.0,-
RM2061605002,Sunbrella Style # 6008 Black หน้ากว้าง 1.52 ม,-1.0,-
RM2061605003,Sunbrella Style # 4648 Taupe หน้ากว้าง 1.18 ม.,-1.0,-
RM2061605004,ผ้า Sioen T-1108F (725g) สีขาว 9909 หน้ากว้าง 2.50 ม/ย.64 ม.,-1.0,-
RM2061606001,ผ้าอะคริลิค RECACRIL 103 NEGRO/BLACK หน้ากว้าง 1.20 ม,-1.0,-
RM2061606002,ผ้า Ferrari 832-1071 Light Grey หน้ากว้าง 2.70 ม.,-1.0,-
RM2061606003,ผ้า Solar max สีเหลือง 1025 (Sioen B8000) (630g) หน้ากว้าง 2.50 ม 65 m.(หมดแล้วหมดเลย),143.3,-
RM2061606004,ผ้า Solar max สีน้ำเงิน 5001 (Sioen B8000)(630g) หน้ากว้าง 2.50 ม. ยาว 65 ม,65.25,-
RM2061608001,ผ้า Solar max สีเขียว 6001 (Sioen B8000) (630g) หน้ากว้าง 3.20 ม ยาว 65 ม.,205.47,-
